Nationality,Region,Educacional Level,Age,Ethnicity,Marital Status,Employment Status,How long have you been playing,Most played genre of video games,Amont of hours spent playing,How often do you play animal crossing,Favorite activity in the game
Filipino ,Asia,Secondary school,11,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, Simulation",Almost everyday,1. Everyday,Fishing
American,US/Canada,Secondary school,13,White,"Single, never married",A student,More than 3 years,"Action, Adventure, Simulation, Strategy, Varied themes all in one game ex: rec room, vr chat,",Everyday,2. Almost everyday,Fishing
American,US/Canada,Secondary school,13,White,"Single, never married",A student,More than 3 years,"Action, Adventure, Strategy, Creation games ex: rec room vrchat",Everyday,2. Almost everyday,Fishing
Filipino,Asia,High school,13,Asian,"Single, never married",A student,More than 3 years,Adventure,Everyday,1. Everyday,Planting trees/flowers
Mexican American ,US/Canada,Secondary school,14,Hispanic or Latino,"Single, never married",A student,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,1. Everyday,Terraforming
Filipino,Asia,High school,14,Other,"Single, never married",A student,1-2 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,2. Almost everyday,Terraforming
British ,EU,Primary school,15,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1. Everyday,Terraforming
American,US/Canada,High school,15,White,"Single, never married",A student,More than 3 years,"Adventure, Simulation, puzzle",Everyday,2. Almost everyday,Catching bugs
american,US/Canada,Secondary school,15,White,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1. Everyday,Fishing
Vietnamese,Asia,High school,16,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,5. Every month,Terraforming
Vietnamese,Asia,Secondary school,16,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, Simulation, Strategy, puzzle",Almost everyday,1. Everyday,Planting trees/flowers
Vietnam,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"RPG, Simulation",Almost everyday,2. Almost everyday,Terraforming
Vietnam,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Strategy",Almost everyday,2. Almost everyday,Terraforming
Vietnam,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, MOBA",Everyday,1. Everyday,Fishing
Friendly,Other,High school,17,Asian,Married or domestic partnership,Out of work and looking for work,More than 3 years,Simulation,Every week,2. Almost everyday,Fishing
canadian,US/Canada,High school,17,White,"Single, never married",A student,1-2 years,"RPG, Strategy",Almost everyday,1. Everyday,Fishing
Norwegian,EU,High school,17,White,Married or domestic partnership,Unable to work,More than 3 years,Adventure,Almost everyday,1. Everyday,Decorating 
New Zealander,Other,High school,17,White,"Single, never married",Out of work and looking for work,More than 3 years,FPS,Everyday,1. Everyday,Fishing
Filipino,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure",Almost everyday,1. Everyday,Planting trees/flowers
Filipino,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"Action, Adventure, RPG, Simulation, Rhythm",Everyday,1. Everyday,All.
Filipino,Asia,High school,17,Asian,"Single, never married",A student,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,2. Almost everyday,Fishing
Vietnam,Asia,High school,18,Asian,"Single, never married",A student,1-2 years,"Action, Adventure, RPG",Almost everyday,2. Almost everyday,Fishing
